Year,Total_Emissions
2024,80352800.0
2025,80114599.99999999
2026,79916100.0
2027,79677900.0
2028,79439700.0
2029,76877200.0
2030,70112800.0
2031,69521900.0
2032,69017200.0
2033,59636500.0
2034,52905100.0
2035,52463100.0
2036,52033200.0
2037,10877800.0
2038,10361700.0
2039,9885300.0
2040,9448600.0
2041,9011900.0
2042,8654600.0
2043,8257600.0
2044,7940000.0
2045,7622400.0
2046,7304800.0
2047,7026900.0
2048,6749000.000000001
2049,6510800.0
2050,6272600.0
